"name","x","y"
1,300.45,350.9
2,300.45,350.99
3,300.45,350.99
4,299.96,351.16
5,298.52,351.8
6,296.75,352.79
7,295.14,353.94
8,293.69,355.2
9,292.38,356.55
10,291.23,357.96
11,290.2,359.39
12,289.31,360.8
13,288.55,362.17
14,287.91,363.46
15,287.38,364.65
16,286.96,365.69
17,286.65,366.56
18,286.43,367.22
19,286.3,367.64
20,286.26,367.78
21,286.26,367.78
22,286.26,367.78
23,286.27,367.83
24,286.33,367.87
25,286.35,367.87
26,286.35,367.87
27,286.79,367.29
28,288.17,365.59
29,289.98,363.49
30,291.78,361.58
31,293.56,359.83
32,295.32,358.26
33,297.05,356.84
34,298.76,355.58
35,300.44,354.45
36,302.08,353.47
37,303.69,352.61
38,305.27,351.87
39,306.8,351.25
40,308.28,350.73
41,309.72,350.3
42,311.1,349.97
43,312.43,349.72
44,313.71,349.54
45,314.92,349.43
46,316.07,349.38
47,317.16,349.38
48,318.17,349.43
49,319.11,349.51
50,319.98,349.62
51,320.77,349.75
52,321.48,349.89
53,322.1,350.04
54,322.64,350.19
55,323.08,350.33
56,323.43,350.45
57,323.69,350.54
58,323.84,350.61
59,323.9,350.63
60,323.9,350.63
61,323.9,350.72
62,323.9,350.72
63,323.86,350.72
64,323.77,350.71
65,323.54,350.71
66,323.22,350.71
67,322.82,350.72
68,322.35,350.76
69,321.82,350.84
70,321.26,350.95
71,320.66,351.11
72,320.05,351.33
73,319.43,351.62
74,318.82,351.98
75,318.24,352.42
76,317.68,352.96
77,317.18,353.6
78,316.73,354.34
79,316.43,354.99
80,316.35,355.21
81,343.3,385.3
82,343.3,385.46
83,343.25,385.95
84,343.1,386.57
85,342.84,387.13
86,342.59,387.52
87,342.49,387.63
88,342.42,387.55
89,342.14,387.34
90,341.57,387.02
91,340.9,386.71
92,340.41,386.52
93,340.24,386.47
94,340.05,386.4
95,339.48,386.22
96,338.85,385.97
97,338.42,385.66
98,338.27,385.32
99,338.27,385.21
100,338.27,385.16
101,338.29,384.99
102,338.34,384.82
103,338.42,384.68
104,338.53,384.57
105,338.64,384.49
106,338.76,384.44
107,338.88,384.41
108,338.96,384.4
109,338.99,384.4
110,339.03,384.4
111,339.16,384.43
112,339.27,384.49
113,339.33,384.55
114,339.35,384.58
115,339.35,384.58
116,339.35,384.58
117,339.35,384.58
118,339.35,384.57
119,339.35,384.51
120,339.35,384.49
121,339.35,384.49
122,339.31,384.43
123,339.19,384.31
124,338.97,384.19
125,338.71,384.13
126,338.63,384.13
127,338.52,384.13
128,338.19,384.2
129,337.75,384.43
130,337.41,384.85
131,337.28,385.32
132,337.28,385.48
133,337.26,385.61
134,337.29,386.02
135,337.46,386.47
136,337.76,386.84
137,338.07,387.11
138,338.18,387.19
139,338.31,387.26
140,338.71,387.49
141,339.27,387.88
142,339.71,388.37
143,339.88,388.83
144,339.88,388.98
145,339.88,389.05
146,339.86,389.26
147,339.78,389.48
148,339.68,389.65
149,339.56,389.79
150,339.43,389.89
151,339.32,389.97
152,339.22,390.02
153,339.18,390.05
154,339.17,390.06
155,339.11,390.09
156,338.94,390.17
157,338.54,390.34
158,338,390.56
159,337.35,390.81
160,336.6,391.08
161,335.78,391.33
162,334.92,391.57
163,334.27,391.72
164,334.05,391.77
165,334.03,391.72
166,333.98,391.55
167,333.9,391.26
168,333.78,390.87
169,333.59,390.39
170,333.28,389.81
171,332.85,389.13
172,332.24,388.34
173,331.65,387.67
174,331.44,387.45
175,331.33,387.34
176,330.96,387.04
177,330.41,386.67
178,329.8,386.35
179,329.14,386.06
180,328.43,385.8
181,327.67,385.58
182,326.87,385.37
183,326.04,385.19
184,325.17,385.02
185,324.29,384.86
186,323.39,384.71
187,322.47,384.56
188,321.55,384.41
189,320.62,384.24
190,319.7,384.07
191,318.79,383.88
192,317.89,383.68
193,317.01,383.44
194,316.15,383.18
195,315.33,382.88
196,314.54,382.55
197,313.79,382.17
198,313.08,381.74
199,312.43,381.27
200,311.84,380.73
201,311.3,380.14
202,310.84,379.48
203,310.44,378.75
204,310.13,377.95
205,309.9,377.07
206,309.75,376.11
207,309.7,375.32
208,309.7,375.06
209,309.7,374.82
210,309.76,374.09
211,309.93,373.19
212,310.2,372.36
213,310.55,371.61
214,310.98,370.92
215,311.48,370.31
216,312.03,369.76
217,312.63,369.28
218,313.27,368.86
219,313.93,368.5
220,314.6,368.21
221,315.27,367.97
222,315.94,367.8
223,316.59,367.68
224,317.21,367.61
225,317.64,367.6
226,317.79,367.6
227,318,367.62
228,318.64,367.69
229,319.36,367.82
230,319.97,367.98
231,320.47,368.14
232,320.87,368.31
233,321.16,368.46
234,321.36,368.59
235,321.45,368.66
236,321.47,368.68
237,321.56,368.68
238,321.56,368.59
239,321.56,368.59
240,321.54,368.55
241,321.47,368.41
242,321.35,368.21
243,321.18,367.95
244,320.96,367.63
245,320.68,367.29
246,320.35,366.91
247,319.96,366.53
248,319.5,366.14
249,318.98,365.77
250,318.39,365.42
251,317.73,365.11
252,317.01,364.84
253,316.2,364.64
254,315.33,364.51
255,314.61,364.46
256,314.37,364.46
257,314.09,364.46
258,313.26,364.51
259,312.1,364.66
260,310.91,364.92
261,309.72,365.28
262,308.54,365.75
263,307.38,366.32
264,306.25,367
265,305.18,367.78
266,304.18,368.68
267,303.26,369.69
268,302.44,370.81
269,301.73,372.04
270,301.16,373.38
271,300.72,374.84
272,300.46,376.42
273,300.36,377.69
274,300.36,378.11
275,300.36,378.55
276,300.44,379.87
277,300.67,381.52
278,301.03,383.06
279,301.53,384.5
280,302.14,385.84
281,302.87,387.1
282,303.69,388.28
283,304.6,389.39
284,305.59,390.43
285,306.65,391.42
286,307.78,392.36
287,308.95,393.25
288,310.16,394.1
289,311.4,394.93
290,312.66,395.73
291,313.93,396.52
292,315.2,397.29
293,316.45,398.07
294,317.7,398.85
295,318.91,399.64
296,320.08,400.46
297,321.2,401.3
298,322.26,402.17
299,323.25,403.09
